Region,Distrito,Municipio,Codigo,Escuela,Categoria,Graduados,Cohorte,Tasa
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,IMPEDIDOS,38,53,71.69%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,BAJO NIVEL DE POBREZA,129,157,82.16%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,PUERTORRIQUEÑOS,171,206,83%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,HISPANOS NO PUERTORRIQUEÑOS,1,1,100%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,FEMENINO,90,107,84.11%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,MASCULINO,82,100,82%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,TODOS,32,38,84.21%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,IMPEDIDOS,3,4,75%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,BAJO NIVEL DE POBREZA,23,28,82.14%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,PUERTORRIQUEÑOS,32,38,84.21%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,HISPANOS NO PUERTORRIQUEÑOS,0,0,0%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,BLANCOS NO HISPANOS,0,0,0%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,OTRO ORIGEN ÉTNICO,0,0,0%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,FEMENINO,13,17,76.47%
PONCE,UTUADO,UTUADO,13318,JOSÉ VIZCARRONDO ,MASCULINO,19,21,90.47%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,TODOS,98,173,56.64%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,IMPEDIDOS,4,15,26.66%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,BAJO NIVEL DE POBREZA,51,108,47.22%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,1,0%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,PUERTORRIQUEÑOS,98,172,56.97%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,HISPANOS NO PUERTORRIQUEÑOS,0,1,0%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,BLANCOS NO HISPANOS,0,0,0%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,OTRO ORIGEN ÉTNICO,0,0,0%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,FEMENINO,52,78,66.66%
PONCE,UTUADO,UTUADO,13425,LUIS MUÑOZ RIVERA,MASCULINO,46,95,48.42%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),TODOS,56,58,96.55%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),IMPEDIDOS,0,0,0%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),BAJO NIVEL DE POBREZA,16,17,94.11%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),PUERTORRIQUEÑOS,54,56,96.42%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),HISPANOS NO PUERTORRIQUEÑOS,2,2,100%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),BLANCOS NO HISPANOS,0,0,0%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),FEMENINO,36,37,97.29%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRÍGIDA ÁLVAREZ (ESPECIALIZADA),MASCULINO,20,21,95.23%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,TODOS,51,117,43.58%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,IMPEDIDOS,13,35,37.14%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,BAJO NIVEL DE POBREZA,32,82,39.02%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,PUERTORRIQUEÑOS,51,116,43.96%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,HISPANOS NO PUERTORRIQUEÑOS,0,1,0%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,FEMENINO,21,53,39.62%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,MASCULINO,30,64,46.87%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,TODOS,140,170,82.35%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,IMPEDIDOS,20,31,64.51%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,BAJO NIVEL DE POBREZA,96,119,80.67%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,2,2,100%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,PUERTORRIQUEÑOS,132,160,82.5%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,HISPANOS NO PUERTORRIQUEÑOS,8,10,80%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,BLANCOS NO HISPANOS,0,0,0%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,OTRO ORIGEN ÉTNICO,0,0,0%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,FEMENINO,60,73,82.19%
BAYAMÓN,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELÉNDEZ TORRES,MASCULINO,80,97,82.47%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,TODOS,114,145,78.62%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,IMPEDIDOS,20,29,68.96%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,BAJO NIVEL DE POBREZA,88,114,77.19%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,1,0%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,PUERTORRIQUEÑOS,110,138,79.71%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,HISPANOS NO PUERTORRIQUEÑOS,4,6,66.66%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,BLANCOS NO HISPANOS,0,0,0%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,OTRO ORIGEN ÉTNICO,0,1,0%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,FEMENINO,71,87,81.6%
BAYAMÓN,OROCOVIS,OROCOVIS,14357,JOSÉ ROJAS CORTÉS,MASCULINO,43,58,74.13%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,TODOS,135,243,55.55%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,IMPEDIDOS,29,69,42.02%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,BAJO NIVEL DE POBREZA,94,180,52.22%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,1,0%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,PUERTORRIQUEÑOS,129,235,54.89%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,HISPANOS NO PUERTORRIQUEÑOS,6,8,75%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,BLANCOS NO HISPANOS,0,0,0%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,OTRO ORIGEN ÉTNICO,0,0,0%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,FEMENINO,69,113,61.06%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15248,FRANCISCO MENDOZA,MASCULINO,66,130,50.76%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,TODOS,148,162,91.35%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,IMPEDIDOS,16,16,100%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,BAJO NIVEL DE POBREZA,84,92,91.3%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,PUERTORRIQUEÑOS,143,157,91.08%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,HISPANOS NO PUERTORRIQUEÑOS,5,5,100%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,FEMENINO,97,107,90.65%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTÍNEZ OTERO,MASCULINO,51,55,92.72%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,TODOS,157,210,74.76%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,IMPEDIDOS,11,21,52.38%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,BAJO NIVEL DE POBREZA,91,125,72.8%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,PUERTORRIQUEÑOS,155,201,77.11%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,HISPANOS NO PUERTORRIQUEÑOS,2,9,22.22%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,BLANCOS NO HISPANOS,0,0,0%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,OTRO ORIGEN ÉTNICO,0,0,0%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,FEMENINO,90,120,75%
MAYAGÜEZ,SAN SEBASTIÁN,ISABELA,15792,DR. HERIBERTO DOMENECH,MASCULINO,67,90,74.44%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,TODOS,159,246,64.63%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,IMPEDIDOS,20,46,43.47%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,BAJO NIVEL DE POBREZA,109,180,60.55%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,2,0%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,PUERTORRIQUEÑOS,151,231,65.36%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,HISPANOS NO PUERTORRIQUEÑOS,7,12,58.33%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,BLANCOS NO HISPANOS,0,1,0%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,OTRO ORIGEN ÉTNICO,1,2,50%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,FEMENINO,92,124,74.19%
ARECIBO,MANATÍ,CIALES,17319,JUAN ANTONIO CORRETJER,MASCULINO,67,122,54.91%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,TODOS,95,126,75.39%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,IMPEDIDOS,8,15,53.33%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,BAJO NIVEL DE POBREZA,67,96,69.79%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,1,1,100%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,PUERTORRIQUEÑOS,87,116,75%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,HISPANOS NO PUERTORRIQUEÑOS,8,10,80%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,FEMENINO,44,58,75.86%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,MASCULINO,51,68,75%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,TODOS,172,279,61.64%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,IMPEDIDOS,13,32,40.62%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,BAJO NIVEL DE POBREZA,103,172,59.88%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,1,2,50%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,PUERTORRIQUEÑOS,171,276,61.95%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,HISPANOS NO PUERTORRIQUEÑOS,0,0,0%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,OTRO ORIGEN ÉTNICO,1,3,33.33%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,FEMENINO,75,121,61.98%
ARECIBO,MANATÍ,MANATÍ,17350,PETRA CORRETJER DE O'NEILL,MASCULINO,97,158,61.39%
ARECIBO,CAMUY,QUEBRADILLAS,17368,MANUEL RAMOS HERNÁNDEZ,TODOS,183,206,88.83%
ARECIBO,CAMUY,QUEBRADILLAS,17368,MANUEL RAMOS HERNÁNDEZ,IMPEDIDOS,24,30,80%
ARECIBO,CAMUY,QUEBRADILLAS,17368,MANUEL RAMOS HERNÁNDEZ,BAJO NIVEL DE POBREZA,132,150,88%
ARECIBO,CAMUY,QUEBRADILLAS,17368,MANUEL RAMOS HERNÁNDEZ,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,CAMUY,QUEBRADILLAS,17368,MANUEL RAMOS HERNÁNDEZ,PUERTORRIQUEÑOS,182,205,88.78%
ARECIBO,CAMUY,QUEBRADILLAS,17368,MANUEL RAMOS HERNÁNDEZ,HISPANOS NO PUERTORRIQUEÑOS,1,1,100%
ARECIBO,CAMUY,QUEBRADILLAS,17368,MANUEL RAMOS HERNÁNDEZ,BLANCOS NO HISPANOS,0,0,0%
